Ticker,Price,EPS,Book Value,Dividend per Share,Net Income,Shareholder Equity,Current Liabilities,EBIT,Total Assets,Total Liabilities,Revenue,Operating Income,Free Cash Flow
20MICRONS.NS,240.8000030517578,17.4,121.679,1.25,623763000.0,4293638000.0,2193068000.0,940218000.0,7145086000.0,2804542000.0,9116589000.0,1006005000.0,-448938000.0
21STCENMGM.NS,56.95000076293945,-9.33,48.584,2.5,123377000.0,510134000.0,58581000.0,195127000.0,570650000.0,60516000.0,1128817000.0,194428000.0,51478000.0
360ONE.NS,1078.9000244140625,26.56,180.591,12.0,10153000000.0,70651200000.0,6828100000.0,22338400000.0,197687000000.0,127035800000.0,26353100000.0,12834300000.0,-24661100000.0
3IINFOLTD.NS,22.36000061035156,2.45,18.139,0.0,253500000.0,3068800000.0,2219800000.0,192000000.0,5728200000.0,2659300000.0,7257600000.0,-68400000.0,397400000.0
3MINDIA.NS,31160.0,440.87,1639.135,160.0,4760674000.0,18464969000.0,10429558000.0,7842089000.0,30145917000.0,11680948000.0,44428602000.0,7262615000.0,2996842000.0
3PLAND.NS,49.0099983215332,1.16,77.6,0.0,20902000.0,1397045000.0,1586000.0,19258000.0,1534936000.0,137891000.0,36586000.0,19258000.0,11711000.0
5PAISA.NS,375.75,19.1,193.087,0.0,682331000.0,6036420000.0,681170000.0,1150199000.0,16666280000.0,10629860000.0,2291565000.0,-156697000.0,899030000.0
63MOONS.NS,996.2000122070312,5.19,742.146,2.0,-331704000.0,34143354000.0,2217552000.0,-546872000.0,36785417000.0,2429822000.0,466381000.0,-2674548000.0,-1540551000.0
A2ZINFRA.NS,18.739999771118164,0.51,2.589,0.0,89731000.0,451660000.0,4264157000.0,179970000.0,4984243000.0,4718478000.0,3362675000.0,37220000.0,508800000.0
AAATECH.NS,82.58999633789062,2.74,24.101,0.5,35103000.0,308251000.0,17292000.0,47007000.0,325543000.0,17292000.0,254555000.0,31306000.0,13964000.0
